,short_description
194,मामल भारत के जाने-म मानवाधिकार कार्यकर् बुद्धिजीव जेल पुलिस इन्ह जेल चश्म स्ट्रॉ दे इनकार रह जान क्य 
195,विदेश राजनयिक कह रह चीन ओल के क़दम हैरान सीनियर यूरोपियन डिप्लोमैट कह महामार के प्रधानमंत्र ओल के क़दम चीन नाराज़ 
196,देख तस्वीर देश दुनिय लोग अंदाज़ मन नए साल जश्न 
197,साल के आख़र किसान आंदोलन सुर्ख बटोर 
198,केंद्रीय शिक्ष मंत्र रमेश पोखरियाल निशंक सीबीएसई बोर्ड 10व 12व परीक्ष घोषण 
199,सरकार प्रेस रिलीज़ के मुताबिक़ देशभर क़रीब 96000 वैक्सीन दे वाल इसक ट्रेन किय गय 
200,दलित के विजय किस्स के वाल भीम कोरेगांव 2018 हिंस के ज़्याद चर्च रह हिंस के मामल देश के जाने-म बुद्धिजीव अभियुक्त बन गय यूएपीए धार लग गईं जान जगह इतिहास दिश रह 2018 हिंस जांच 
201,नेपाल के हालिय संकट चीन के झटक भारत जीत के तौर क्य देख रह भारतीय मीडिय ओल चीन समर्थक कह क्य वो भारत के पक्ष आ 
202,मामल भारत के जाने-म मानवाधिकार कार्यकर् बुद्धिजीव जेल पुलिस इन्ह जेल चश्म स्ट्रॉ दे इनकार रह जान क्य 
203,विदेश राजनयिक कह रह चीन ओल के क़दम हैरान सीनियर यूरोपियन डिप्लोमैट कह महामार के प्रधानमंत्र ओल के क़दम चीन नाराज़ 
204,देख तस्वीर देश दुनिय लोग अंदाज़ मन नए साल जश्न 
205,साल के आख़र किसान आंदोलन सुर्ख बटोर 
206,केंद्रीय शिक्ष मंत्र रमेश पोखरियाल निशंक सीबीएसई बोर्ड 10व 12व परीक्ष घोषण 
207,सरकार प्रेस रिलीज़ के मुताबिक़ देशभर क़रीब 96000 वैक्सीन दे वाल इसक ट्रेन किय गय 
208,भार ब्याज दर लोग ज़िंदग नरक बन वाल लोन एप्स क्य इनक पीछ चीन भूमिक 
209,रमेश पोखरियाल निशंक गुरुवार 31 दिसंबर दसव बारहव बोर्ड परीक्ष तारीख़ ऐलान किय 
210,पिछल दिन ऐस मामल साम आए जिनम सरकार के आलोचक रह क़ैद के क्रूर बर रह 
212,भारत ऑस्ट्रेलिय के खेल रह दूसर टेस्ट मैच के चौथ दिन खेल शुर गय मैच मेलबर्न क्रिकेट ग्राउंड खेल रह 
213,आख़िर ऐस क्य कृष पंजाब उत्तर प्रदेश अधिक भागीदार वाल राज्य बिहार किसान नह क्य कृष सब बढ़िय चल रह 
214,नागौर आरएलप के इकलौ सांसद हनुमान बेनीवाल जयपुर-दिल्ल हाइव किसान के प्रदर्शन पहुंच चर्च रह किसान उनक पढ़ क्य पूर मामल 
215,आंदोलन रह किसान रविवार ताल थाल बज पीएम मोद के ‘मन बात’ कार्यक्रम विरोध किय 
216,बीजेप कांग्रेस अकाल आक्रामक केजरीवाल अवसरवादि करार दे रह आम आदम पार्ट दाव वो किसान के दिन खड़ क़ानून लोकसभ राज्य सभ पास 
217,महिल किसान कह यूनियन के उनक ना अप समुदाय धर्म जुड़ अप जमीन नुमाइंदग रह 
218,केंद्र सरकार के कृष क़ानून विरोध रह किसान छह महीन प्रदर्शन तैयार के आए लोग बात यकीन मुश्किल सक किसान आंदोलन महाराष्ट्र छह साल चल 
220,पिछल दिन ऐस मामल साम आए जिनम सरकार के आलोचक रह क़ैद के क्रूर बर रह 
222,भारत ऑस्ट्रेलिय के खेल रह दूसर टेस्ट मैच के चौथ दिन खेल शुर गय मैच मेलबर्न क्रिकेट ग्राउंड खेल रह 
223,आख़िर ऐस क्य कृष पंजाब उत्तर प्रदेश अधिक भागीदार वाल राज्य बिहार किसान नह क्य कृष सब बढ़िय चल रह 
224,नागौर आरएलप के इकलौ सांसद हनुमान बेनीवाल जयपुर-दिल्ल हाइव किसान के प्रदर्शन पहुंच चर्च रह किसान उनक पढ़ क्य पूर मामल 
225,आंदोलन रह किसान रविवार ताल थाल बज पीएम मोद के ‘मन बात’ कार्यक्रम विरोध किय 
226,बीजेप कांग्रेस अकाल आक्रामक केजरीवाल अवसरवादि करार दे रह आम आदम पार्ट दाव वो किसान के दिन खड़ क़ानून लोकसभ राज्य सभ पास 
227,महिल किसान कह यूनियन के उनक ना अप समुदाय धर्म जुड़ अप जमीन नुमाइंदग रह 
228,झारखंड मुक्त मोर्च के नेतृत्व वाल महागठबंधन सरकार 29 दिसंबर राज्य सत् साल पूर 
229,रजनीकांत के मुताबिक़ ख़राब सेहत के कारण उन्ह फ़ैसल ले पड़ 
230,भारत अमेरिक जापान ऑस्ट्रेलिय क्वॉड समूह बन समूह औपचारिक दिय 
231,17 दिसंबर भारत के पीएम नरेंद्र मोद बांग्लादेश प्रधानमंत्र शेख हसी के वर्चुअल मीटिंग 
232,प्रस्तावित सेंट्रल विस्ट प्रोजेक्ट ज़्याद जानकार मिल के सवाल फ़ेहरिस्त लंब रह सुप्रीम कोर्ट संसद के निर्माण सरकार के रुख़ आक्रामक बत 
233,दोन पक्ष आठ स्तर सैन्य वार् चुक सीम मुद्द सुलझ प्रगत नह दिख भारत के पास क्य विकल्प 
235,मामल सुप्रीम कोर्ट पहुंच चुक 
236,भूकंप के कारण जान-माल काफ नुकसान सात लोग मौत काफ संख्य लोग जख़्म 
237,प्रधानमंत्र नरेंद्र मोद सोमवार दिल्ल मेट्र मेजेंट लाइन भारत पहल बि ड्राइवर के ट्रेन संचालन तकनीक उद्घाटन किय 
238,ड्राइवरलेस मेट्र के उद्घाटन कार्टून 
239,ग़ाज़ीपुर-गाज़ियाबाद बॉर्डर किसान विरोध प्रदर्शन रह किसान के कैम्पिंग टेंट लग 
241,नेपाल के पत्रकार कह ची कम्युनिस्ट पार्ट नेपाल के आंतरिक मामल दखल दे रह 
243,पिछल दिन ऐस मामल साम आए जिनम सरकार के आलोचक रह क़ैद के क्रूर बर रह 
245,भारत ऑस्ट्रेलिय के खेल रह दूसर टेस्ट मैच के चौथ दिन खेल शुर गय मैच मेलबर्न क्रिकेट ग्राउंड खेल रह 
246,आख़िर ऐस क्य कृष पंजाब उत्तर प्रदेश अधिक भागीदार वाल राज्य बिहार किसान नह क्य कृष सब बढ़िय चल रह 
247,नागौर आरएलप के इकलौ सांसद हनुमान बेनीवाल जयपुर-दिल्ल हाइव किसान के प्रदर्शन पहुंच चर्च रह किसान उनक पढ़ क्य पूर मामल 
248,आंदोलन रह किसान रविवार ताल थाल बज पीएम मोद के ‘मन बात’ कार्यक्रम विरोध किय 
249,बीजेप कांग्रेस अकाल आक्रामक केजरीवाल अवसरवादि करार दे रह आम आदम पार्ट दाव वो किसान के दिन खड़ क़ानून लोकसभ राज्य सभ पास 
250,महिल किसान कह यूनियन के उनक ना अप समुदाय धर्म जुड़ अप जमीन नुमाइंदग रह 
251,केंद्र सरकार के कृष क़ानून विरोध रह किसान छह महीन प्रदर्शन तैयार के आए लोग बात यकीन मुश्किल सक किसान आंदोलन महाराष्ट्र छह साल चल 
252,फारूक़ साहब सिर्फ़ साहित्यकार भर नह वो महफ़िल संग्रहालय यूनिवर्सिट गुज़र ज़म जीती-जाग तहज़ीब 
253,इलाहाबाद हाई कोर्ट जस्टिस पंकज नक़व विवेक अग्रवाल 18 दिसंबर युव के पत याचिक सुनव फ़ैसल सुन 
254,सरकार न्यूज़ एजेंस शिन्हुआ रिपोर्ट के अनुसार पुलिस संदिग्ध गिरफ़्तार लिय हालांक हमल के पीछ मक़सद अभ स्पष्ट नह सक 
255,पैर लग स्प्रिंग मदद वो चल सक आसा नह साल नीट परीक्ष पास एमबीबीएस पढ़ शुर वाल रिटायर्ड अधिकार 
256,साल 2020 सिर्फ लोग के ज़हन नह बल्क वैश्विक राजनीत गहर छाप छोड़ साल वैश्विक राजनीत जिसक असर लंब रह 
257,कृष कानून के ख़िलाफ़ किसान आंदोलन जार किसान आंदोलन वजह रेलव काफ़ आर्थिक नुकसान 
258,क्य किसान आंदोलन राजनीतिक रुख लेग बीबीस के सहय पत्रकार समीरात्मज मिश्र बत रह हाल 
259,भारत-चीन के एलएस जार तनाव के अरुणाचल के तवांग सेक्टर भारतीय सुरक्षाबल के जवान कड़ ठंड डट 
260,भारत नेपाल के राजदूत नीलांबर आचार्य बीबीस बत वैक्सीन ले भारत वैक्सीन निर्मा सरकार अधिकार के दिल्ल चर्च 
261,रोहतक के खरावड़ गांव के लोग 1985 सिख मदद किसान आंदोलन के पंजाब दिल्ल वाल किसान गाँव आराम के रुक 
262,अजिंक्य रहाण कप्ता भारत अच्छ शुरुआत ऑस्ट्रेलिय के मेलबर्न क्रिकेट ग्राउंड खेल रह टेस्ट मैच ऑस्ट्रेलिय टॉस जीत पहल बल्लेबाज़ फ़ैसल किय 
263,ब्रिटेन यूरोपीय संघ के पोस्ट-ब्रेग़्जिट ट्रेड डील के ब्रिटेन भारत सहित दूसर देश के फ्र ट्रेड मार्ग प्रशस्त गय 
264,भारतीय इतिहास सबस महत्वाकांक्ष पूर्वाभ्यास आंध्र प्रदेश गुजरात पंजाब असम दिन के होग सुर्ख 
265,फ़िल्म देख होंग असल ज़िंदग कित मुश्किल 
267,क्रिसमस के अगल दिन नाम बॉक्सिंग डे क्य रख गय क्य इसक मुक्केबाज़ लेना-दे 
268,सरकार कह रह नए कानून किसान आय बढ़ पढ़िय पिछल साल सरकार के उठ कदम कित असर 
269,पाकिस्तान कह भारत उसक ख़िलाफ़ कार्रव कोशिश मुंहतोड़ जवाब दिय जाएग 
271,साल 2019 प्रतिदिन 4575 लोग जान वाय प्रदूषण वजह ढाई लाख करोड़ रुपय ज़्याद नुकसान हुआआप बच के क्य रह 
272,पार्ट आरोप इमरान मदद सत् हासिल 
273,भारत प्रशासित कश्मीर एनकाउंटर मामल मेजर हत्य के दोष हाफ़िज़ सईद साढ़ 15 साल जेल सज़ प्रेस रिव्य 
275,सरकार किसान के दौर बातचीत तमाम कोशिश बेनतीज रह 
276,रूस भारत के वार्षिक सम्मेलन पिछल 20 साल लगातार रह बार सम्मेलन नह रह भारत रूस सम्मेलन के ना के पीछ कोरो महामार वजह बत 
277,चीन भारत ज़मीन खे इसस अधिक फ़सल उपज भारत दुनिय के देश औसत पैदावार उपज तस्वीर कैस बदल 
279,स्थाप दिवस के कांग्रेस तैयार भड़काऊ भाषण के अभियुक्त बीजेप चल रह मामल वापस ले अर्ज़ प्रेस रिव्य 
281,ईय अच्छ जायज़ संतुलित डील कह जबक ब्रिटेन पूर ईय के अच्छ डील क़रार दिय 
282,ब्रिटेन कोरोनावायरस के नए प्रकार के ख़ौफ़ के आवाजाह भारत रोक लग दी जिसस भारतीय प्रभावित 
283,जम्म कश्मीर अतिक्रमण हट रह कार्रवाईकाट रह हज़ार सेब के पेड़और तोड़ रह वनवास के घरप 
284,विधानसभ के विशेष सत्र बुलाय ले पेंच फँस गय क्योंक मंत्रिमंडल सिफ़ारिश राज्यपाल ख़ारिज दिय 
285,खेल के किस्स सौरभ गांगुल के जीवन जुड़ किस्स सु रह रेहान फ़ज़ल 
286,अमेरिक के भारत खे के मामल दूसर नंबर पैदावार के मामल अमेरिक नह चीन पीछ 
287,20 दिसंबर 2020 नेपाल राष्ट्रपत बिद्य देव भंडार ओल सरकार सिफ़ारिश के नेपाल संसद प्रतिनिध सभ भंग दिय अप्रैल मध्यावध चुनाव घोषण 
288,ब्रिटेन न्यूज़ चैनल के ब्रॉडकास्ट अधिकार रख वाल कंप क़रीब 20 लाख रुपय जुर्म लग गय 
289,बाब ढाब नाम शायद सु होग छोट सा फ़ूड स्टॉल चल वाल बुज़ुर्ग रो वीडिय वायरल गय 
292,इसम सुनानेवाल पहचान ज़ाहिर नह 
293,फ़ंगस इन्फ़ेक्शन पीड़ित लोग साम चुनौ बड़ 
294,पाकिस्तान चीन दोस् शुरुआ दौर रुकावट आईं दोन देश के रिश्त गर्मजोश जगज़ाहिर कैस पड़ बुनियाद 
295,भारत 23 दिसंबर दिन किसान दिवस के रूप मन भारत के पाँचव प्रधानमंत्र चौधर चरण सिंह जयं विशेष लेख 
298,बत रह दिल्ल सट सिंघ बॉर्डर सिख प्रचारक ख़ुद गोल मार ली पर्च के मिल ख़बर जिसक जाँच रह 
301,चार टेस्ट मैच सिरीज़ पहल मैच गुरुवार शुर रह वन डे सिरीज़ ऑस्ट्रेलिय के नाम रह 
302,भारत हर साल लाख लोग वाय प्रदूषण वजह अकाल मौत शिकार रह 
303,उत्तराखंड राजनीत नज़र रख वाल जानकार मान आम आदम पार्ट के आन राजनीत के समीकरण बदल सक 
304,कश्मीर रह वाल पाकिस्ता महिल अक्सर अप अधिकार के प्रदर्शन अप आवाज़ उठ के उनम राजनीत आ 
305,प्रधानमंत्र नरेंद्र मोद नई दिल्ल स्थित नेशनल वॉर मेमोरियल पहुंच 1971 युद्ध हिस्स ले वाल जवान श्रद्धांजल दी 
306,एयर इंडिय नीलाम किसान आंदोलन कार्टून 
307,मम बनर्ज हाल उनक दाहि हाथ समझ वाल टीएमस के कद्दावर शुभेंद अधिकार के आपस संबंध मुकाम पहुंच प्वॉयंट ऑफ़ नो रिटर्न कह 
308,कोरो के बदल रूप ख़बर आन के भारत समेत देश ब्रिटेन आन वाल उड़ान बैन दिय 
309,लियोनल मेस 749 मैच खेल चुक औसतन हर 116 मैच गोल दाग़ 
310,बेंगलुर मुसलमान कारोबार मंदिर के अप ज़मीन दे दी एचएमज बाश के कदम काफ़ सराह रह 
311,सन लाइब एलओस पार पाकिस्तान रह वाल गल सरहद पार वो तरफ़ आ थीं 
312,दिल्ल लग सीम बी दिन किसान विरोध प्रदर्शन रह किसान रास् पढ़ वाल फुटपाथ ज़मीन सब्ज उगा शुर दी 
314,ब्रिटेन पाए कोरो वायरस के नए वैरिएंट के मद्देनज़र भारत समेत कनाड आयरलैंड जर्म फ्रांस इटल नीदरलैंड्स बेल्जियम जैस तकरीबन 10 देश उड़ान रद्द फैसल लिय 
315,प्रदर्शनकार किसान लोग थाल बज अपील सिंघ बॉर्डर रविवार प्रेस कॉन्फ्रेंस किसान जगजीत सिंह धालीवाल बात कह 
316,केंद्रीय सड़क परिवहन राजमार्ग मंत्र नितिन गडकर घोषण अगल साल भारत टोल प्लाज़ फ़्र जाएग 
317,स्वास्थ्य मंत्र हर्षवर्धन उम्मीद जत जनवर टीकाकरण शुर सक छह टीक अभ क्लीनिकल ट्रायल चल रह 
318,क्य हरित क्रांत अप कामयाब के चक्रव्यूह फँस गय पंजाब किसान जान क्य तरीक 
319,लद्दाख साद कपड़ पह ची सैनिक के गाँव चल आन ख़बर प्रेस रिव्य 
320,प्रधानमंत्र नरेंद्र मोद रविवार सुबह दिल्ल स्थित गुरुद्वार रकाब गंज साहिब पहुंच गुर तेग बहादुर उनक सर्वोच्च बलिदान के श्रद्धांजल दी 
321,कृष कानून के विरोध किसान दिल्ल सीम डट मोद सरकार कानून वापस ले मांग नह मान रह 
322,पाकिस्तान के पूर्व क्रिकेटर शोएब अख़्तर भारतीय टीम ले वीडिय जार किय 
323,कोरो महामार ले चीन लगातार सवाल उठ रह महामार दुनियाभर अप चपेट लिय आम जीवन ले विश्व व्यापार इसक वजह प्रभावित 
324,कोरो महामार के चल 2020 सबस ख़राब साल मान रह आपक पढ़ चाह 
325,कोरो वायरस ले शुरुआत अलग-अलग बात कह रह थीं लोग महज़ नजल किस्म बत खारिज रह 
327,मस्जिद के डिज़ाइन गुबंद मीनार नह होग परिसर अस्पताल निर्माण किय जाएग 
328,साल 1971 के युद्ध के अमेरिक युद्ध विराम स्वीकार के भारत दबाव बढ़ के अप सातव बेड़ बंगाल खाड़ भेज 
329,धुंधल याद थक मन माँ बार देख इच्छ गी चल चल रह 
330,भारत कोरो संक्रमण पहल मामल साल के जनवर मही आय 
332,भारत के आज़ाद के 14 साल 1961 गोव पुतर्गाल गुलाम आज़ाद मिल 
334,1971 लड़ 49व बरस पढ़ अमरीक भारत डर कोशिश भारत क्य किय 
335,पाकिस्तान के विदेश मंत्र शाह महमूद क़ुरैश कह पाकिस्तान ख़ुफ़िय सूत्र पत चल भारत उसक ख़िलाफ़ सर्जिकल स्ट्राइक योज बन रह 
336,स्वास्थ्य मंत्रालय लिस्ट वैक्सीन जुड़ ऐस शंक समाधान कोशिश वक़्त ज़्यादातर लोग के ज़हन 
337,नीदरलैंड चल रह पुरुष हॉक चैंपियंस ट्रॉफ़ के पहल मुक़ाबल भारत पाकिस्तान हर 
338,भारत सरकार टीकाकारण योज के अगल साल जनवर अगस्त मही 30 करोड़ लोग टीकाकरण किय जाएग 
339,भारत-बांग्लादेश के ट्रेन पश्चिम बंगाल के हल्दीबाड़ बांग्लादेश के चिलहट जाएग 
340,भारत ऑस्ट्रेलिय के टेस्ट मैच चल रह ऐस सुन टेस्ट क्रिकेट के सबस धीम शतक शतक लग वाल खिलाड़ ज़ुबा 
341,भारत ईरान उज़्बेकिस्तान के पहल त्रिपक्षीय वर्किंग ग्रुप बैठक चाबहार पोर्ट के संयुक्त रूप इस्तेमाल ले बातचीत 
342,पाकिस्तान कपड़ उद्योग जुड़ निर्यातक के मुताबिक कोरो काल उन्ह विदेश काफ ऑर्डर मिल 
343,अमेरिक भारतीय मूल के प्रसिद्ध लेखक बुद्धिजीव फ़रीद ज़करिय ख़ास बातचीत बीबीस संवादद ज़ुबैर अहमद 
344,भारत सभ नई कमर्शियल गाड़ जीपीएस तकनीक आ रह 
345,‘गाल प्रोजेक्ट’ मक़सद महिल जातिगत गाल जगह दूसर गाल दे विकल्प दे 
347,पिछल पाँच साल भारत के ज़्यादातर राज्य कुपोषण बार बढ़ दिख रह हैइसक वजह जान के पढ़ ख़बर 
350,कांग्रेस के 23 अगस्त सोनिय गांध ख़त लिख बदलाव माँग पढ़ प्रेस रिव्य 
351,अमेरिक के प्रेसीडेंट इलेक्ट बाइडन शु्क्रवार व्हाइट हाउस के संचार प्रेस स्टाफ़ के 16 अतिरिक्त सदस्य घोषण 
352,ब्रिटेन के विदेश मंत्र डोमिनिक रॉब भारत दौर आए प्रधानमंत्र नरेंद्र मोद विदेश मंत्र एसजयशं मुलाकात मौक बीबीस उनस मुद्द विस्तार बात 
353,उत्तर प्रदेश के गोरखपुर सामूहिक विवाह कार्यक्रम मां बेट अपने-अप जीवनसाथ चु 
354,सिख प्रचारक राम सिंह अप सुसाइड नोट लिख वो किसान दुख बर्दाश्त नह पा रह 
355,किसान आंदोलन सुप्रीम कोर्ट टिपण्ण कार्टून 
356,चाल वित्त वर्ष के पहल चार महीन पाकिस्तान कपड़ निर्यात 45 अरब डॉलर अधिक गय 
357,उत्तर प्रदेश के संभल ज़िल किसान शांत भंग आशंक के कारण 50 लाख रुपय के बॉन्ड भर संबंध नोटिस जार किय गय 
358,जाने-म अर्थशास्त्र सामाजिक कार्यकर् ज्य द्रेज़ भूख कुपोषण के मामल भारत लगातार खराब हालत बीबीस बात 
360,बिहार पिछल मही संपन्न विधानसभ चुनाव एनडीए सत् आन बिहार मुफ़्त कोरो वैक्सीन लग वाद किय 
361,द प्रेसिडेंशियल इयर्स के अंश के मुताबिक़ दिवंगत राष्ट्रपत प्रणब मुखर्ज लिख उनक राष्ट्रपत बन के सोनिय गाँध मनमोहन सिंह सरकार बच व्यस्त 
363,16 दिसंबर 1971 पाकिस्ता भारत के साम समर्पण किय उसक तैयार मेजर जनरल जेएफ़आर जैकब बत क्य 
365,पाकिस्तान ख़ैबरपख़्तूनख़्व प्रांत अप ऐतिहासिक धरोहर के मशहूर गांधार बौद्ध विरासत के सबस अहम केंद्र 
366,चीन चांग ई-5 चंद्रम सतह क़रीब किलोग्राम पत्थर मिट्ट के नमू ले धर लौट 
367,हालांक लोग दिल्ल सीम प्रदर्शन वाल किसान के शामिल नह 
368,भारत हर साल लाख लोग वाय प्रदूषण वजह अकाल मौत शिकार रह 
369,उत्तराखंड राजनीत नज़र रख वाल जानकार मान आम आदम पार्ट के आन राजनीत के समीकरण बदल सक 
370,कश्मीर रह वाल पाकिस्ता महिल अक्सर अप अधिकार के प्रदर्शन अप आवाज़ उठ के उनम राजनीत आ 
371,प्रधानमंत्र नरेंद्र मोद नई दिल्ल स्थित नेशनल वॉर मेमोरियल पहुंच 1971 युद्ध हिस्स ले वाल जवान श्रद्धांजल दी 
372,एयर इंडिय नीलाम किसान आंदोलन कार्टून 
373,मम बनर्ज हाल उनक दाहि हाथ समझ वाल टीएमस के कद्दावर शुभेंद अधिकार के आपस संबंध मुकाम पहुंच प्वॉयंट ऑफ़ नो रिटर्न कह 
374,गुलाब गेंद वाल डे-नाइट टेस्ट मैच कप्ता विराट कोहल टेस्ट मैच के वो भारत लौट क्योंक वो पि बन वाल 
375,दिल्ल के परिवहन विभाग कार के हाई सिक्योरिट रजिस्ट्रेशन प्लेट कलर कोडेड फ़्यूल स्टि अनिवार्य दिय इसक न 10000 रुपय चालान कट सक 
376,आज़ाद के भारत के गणतंत्र दिवस बोरिस जॉनसन मुख्य अतिथ बन वाल दूसर ब्रिटिश प्रधानमंत्र होंग इसस पहल 1993 जॉन मेजर अतिथ बन गय 
377,साल 2012 निर्भय के सामूहिक बलात्कार के कानून कड़ मौत सज़ जैस प्रावधान लाए 
378,कोरो वायरस निपट के देश टीकाकरण शुर किय जाएग मामल प्रतिकूल असर होग 
379,जाने-म अर्थशास्त्र सामाजिक कार्यकर् ज्य द्रेज़ भूख कुपोषण के मामल भारत लगातार खराब हालत बीबीस बात 
381,बिहार पिछल मही संपन्न विधानसभ चुनाव एनडीए सत् आन बिहार मुफ़्त कोरो वैक्सीन लग वाद किय 
382,द प्रेसिडेंशियल इयर्स के अंश के मुताबिक़ दिवंगत राष्ट्रपत प्रणब मुखर्ज लिख उनक राष्ट्रपत बन के सोनिय गाँध मनमोहन सिंह सरकार बच व्यस्त 
384,16 दिसंबर 1971 पाकिस्ता भारत के साम समर्पण किय उसक तैयार मेजर जनरल जेएफ़आर जैकब बत क्य 
386,पाकिस्तान ख़ैबरपख़्तूनख़्व प्रांत अप ऐतिहासिक धरोहर के मशहूर गांधार बौद्ध विरासत के सबस अहम केंद्र 
387,चीन चांग ई-5 चंद्रम सतह क़रीब किलोग्राम पत्थर मिट्ट के नमू ले धर लौट 
388,हालांक लोग दिल्ल सीम प्रदर्शन वाल किसान के शामिल नह 
389,भारत के चाबहार सेंट्रल एशिय कॉकेशस रीजन दरवाज़ साबित सक ट्रेन कनेक्टिविट बड़ फायद होग 
390,पिंक के पत जेठ हिरासत रख गय हालात गर्भपात के आरोप लग काफ़ संगीन 
391,संसद के शीत सत्र के ना ख़बर कार्टून 
392,कोरो वैक्सीन टीक भारत लोग प्रक्रिय के कैस लग जाएग ले केंद्र सरकार दिशानिर्देश जार दिए 
394,ऑनर किलिंग हिरासत हत्य आत्महत्य हाथरस कांड परिवार मर्ज़ के बग़ैर बि पोस्टमॉर्टम के लाश जल मामल 
395,ग्लोबल हंगर इंडेक्स 2020 के अनुसार दुनिय के 107 देश भारत 94व नंबर सूडान के 
397,भारत के प्रमुख जनरल मनोज मुकुंद नरवण यूएई सऊद अरब के हफ़्तेभर लंब दौर रह 
398,नर्सिंग यूनियन छठ वेतन आयोग सिफारिश लाग सहित अप मांग रख 
399,भारत कोरो टीक कैस लग जाएग इसक बार सरकार दिशानिर्देश जार दिए 
400,बजरंग दल ख़तरनाक संगठन शामिल मांग जून दिल्ल के चर्च हमल के उठ अख़बार समीक्ष 
402,राजस्थान-हरियाण बॉर्डर आंदोलन सड़क डट किसान कैस रह आंदोलन पढ़ ग्राउंड रिपोर्ट 
403,15 दिसंबर भारत के पहल उपप्रधानमंत्र गृह मंत्र सरदार वल्लभ भाई पटेल पुण्यतिथ 
404,दिल्ल हाईकोर्ट के फ़ैसल एम्स प्रशासन मीटिंग के नर्सिंग यूनियन हड़ताल वापस ले फ़ैसल किय 
405,छत्तीसगढ़ दिन राज्य महिल आयोग अध्यक्ष के बयान सियास गलियार बहस शुर 
406,ऑपरेशन के परिवार उम्मीद बच्च दूसर बच्च खेल-कूद बाक़ गतिविध हिस्स ले सक 
408,मालदीव चीन के क़र्ज़ ले हमेश चिं जताय रह पिछल हफ़् कलह साफ़ तौर सोशल मीडिय दिख 
409,केंद्र जेप नड्ड के दौर सुरक्ष के ज़िम्मेदार तीन आईपीएस अधिकार डेपुटेशन दिल्ल बुल मम किय भेज इनकार 
410,गाज़ीपुर बॉर्डर कृष क़ानून के ख़िलाफ़ प्रदर्शन रह महिल किसान आंदोलनकार हाल 
411,मुंबई पुलिस रविवार रिपब्लिक टीव के सीईओ विकास खनचंदा कथित टीआरप स्कैम के संबंध गिरफ़्तार किय 
412,उनक अनजान लोग बच के हर रोज़ मौत के ख़तर साम कोरो वायरस सीध मुक़ाबल रह स्वास्थ्यकर्म 
413,खनचंदा कोर्ट पेश किय जाएग खनचंदा पहल मामल बार पूछताछ चुक 
415,मरियम नवाज़ लोग अपील वो हर हालत मीनार-ए-पाकिस्तान पहुँच इमरान ख़ान सरकार आख़िर धक्क दें 
416,भारत के प्रमुख जनरल मनोज मुकुंद नरवण मंगलवार हफ़् के संयुक्त अरब अमीरात सऊद अरब के दौर रव 
417,पहल शाहीन बाग़ उसक ताज़ किसान आंदोलन दिख लग नागरिक समाज विपक्ष ख़ाल जगह भर रह 
418,भारत पाकिस्तान अक्सर अप दुश्म के बार दोन देश आ 
419,केंद्र सरकार ओर पारित तीन नए कृष क़ानून किसान दिन विरोध रह 
420,कनाड ब्रिटेन के अमेरिक लोग किसान के समर्थन विरोध प्रदर्शन किय 
421,मोद सरकार के नए कृष क़ानून ले किसान संगठन आंदोलन तेज़ रह हरियाण पश्चिम उत्तर प्रदेश के टोल प्लाज़ किसान शुल्क नह ले दे रह 
